fips,year,laborfc,employed,unemplvl,unemprate
13017,2015,5456,4962,494,9.1
13019,2015,7018,6511,507,7.2
13021,2015,67649,63128,4521,6.7
13023,2015,4354,3981,373,8.6
13025,2015,6877,6362,515,7.5
13027,2015,6857,6438,419,6.1
13029,2015,16080,15232,848,5.3
13031,2015,34596,32490,2106,6.1
13033,2015,9095,8353,742,8.199999999999999
13035,2015,10084,9411,673,6.7
13037,2015,2120,1988,132,6.2
13039,2015,22210,20973,1237,5.6
13043,2015,4946,4664,282,5.7
13045,2015,51578,48097,3481,6.7
13047,2015,31243,29604,1639,5.2
13049,2015,4748,4443,305,6.4
13051,2015,132710,124919,7791,5.9
13053,2015,2101,1916,185,8.800000000000001
13055,2015,10508,9857,651,6.2
13057,2015,119849,114221,5628,4.7
13059,2015,56900,53422,3478,6.1
13061,2015,856,755,101,11.8
13063,2015,125877,116241,9636,7.7
13065,2015,2762,2567,195,7.1
13067,2015,396618,376441,20177,5.1
13069,2015,17220,16057,1163,6.8
13071,2015,19969,18688,1281,6.4
13073,2015,68356,64916,3440,5
13075,2015,7257,6770,487,6.7
13077,2015,67571,63968,3603,5.3
13079,2015,5553,5202,351,6.3
13081,2015,9387,8742,645,6.9
13083,2015,7819,7389,430,5.5
13085,2015,10899,10340,559,5.1
13087,2015,11346,10572,774,6.8
13089,2015,371561,349045,22516,6.1
13091,2015,6929,6346,583,8.4
13093,2015,4739,4380,359,7.6
13095,2015,37725,34801,2924,7.8
13097,2015,68056,63726,4330,6.4
13099,2015,4340,4038,302,7
13101,2015,1858,1771,87,4.7
13103,2015,27055,25667,1388,5.1
13105,2015,7583,7017,566,7.5
13107,2015,8284,7556,728,8.800000000000001
13109,2015,4645,4384,261,5.6
13111,2015,10072,9446,626,6.2
13113,2015,53937,51128,2809,5.2
13115,2015,42805,39935,2870,6.7
13117,2015,103977,99241,4736,4.6
13119,2015,9248,8665,583,6.3
13121,2015,512558,481798,30760,6
13123,2015,11674,10966,708,6.1
13125,2015,1228,1146,82,6.7
13127,2015,37537,35248,2289,6.1
13129,2015,26044,24500,1544,5.9
13131,2015,10379,9752,627,6
13133,2015,6800,6347,453,6.7
